Acciona,231.60,232.00,226.40,02/04
Acciona Ener,21.50,21.60,21.20,02/04
Acerinox,12.27,12.33,12.01,02/04
ACS,111.10,112.00,107.80,02/04
Aena,26.24,26.24,25.62,02/04
Amadeus,49.54,49.54,48.22,02/04
ArcelorMittal,45.63,46.49,44.53,02/04
B. Sabadell,3.07,3.08,3.02,02/04
Bankinter,13.65,13.73,13.43,02/04
BBVA,18.77,18.79,18.29,02/04
CaixaBank,10.38,10.48,10.23,02/04
Cellnex Telecom,28.75,28.75,27.68,02/04
Colonial SFL,5.20,5.22,5.08,02/04
Enagßs,17.21,17.23,17.01,02/04
Endesa,37.54,37.54,36.64,02/04
Ferrovial Se,57.28,57.58,56.14,02/04
Fluidra,20.24,20.38,19.95,02/04
Grifols,9.20,9.33,9.11,02/04
IAG,4.21,4.28,4.09,02/04
Iberdrola,20.36,20.37,20.01,02/04
Inditex,50.80,50.80,49.86,02/04
Indra,49.34,49.64,47.00,02/04
Logista,32.96,33.10,32.52,02/04
Mapfre,3.91,3.91,3.85,02/04
Merlin Properties,14.52,14.57,14.08,02/04
Naturgy,26.50,26.50,26.00,02/04
Puig Brands B,17.50,17.50,17.08,02/04
Redeia,15.07,15.08,14.81,02/04
Repsol,24.27,24.49,23.79,02/04
ROVI,82.65,82.80,81.40,02/04
Sacyr,4.46,4.47,4.35,02/04
B. Santander,9.81,9.88,9.56,02/04
Solaria,24.79,24.99,23.96,02/04
Telef≤nica,3.85,3.85,3.78,02/04
Unicaja Banco,2.57,2.59,2.53,02/04
Acciona,231.60,232.00,226.40,02/04
Acciona Ener,21.50,21.60,21.20,02/04
Acerinox,12.27,12.33,12.01,02/04
ACS,111.10,112.00,107.80,02/04
Aena,26.24,26.24,25.62,02/04
Amadeus,49.54,49.54,48.22,02/04
ArcelorMittal,45.63,46.49,44.53,02/04
B. Sabadell,3.07,3.08,3.02,02/04
Bankinter,13.65,13.73,13.43,02/04
BBVA,18.77,18.79,18.29,02/04
CaixaBank,10.38,10.48,10.23,02/04
Cellnex Telecom,28.75,28.75,27.68,02/04
Colonial SFL,5.20,5.22,5.08,02/04
Enagßs,17.21,17.23,17.01,02/04
Endesa,37.54,37.54,36.64,02/04
Ferrovial Se,57.28,57.58,56.14,02/04
Fluidra,20.24,20.38,19.95,02/04
Grifols,9.20,9.33,9.11,02/04
IAG,4.21,4.28,4.09,02/04
Iberdrola,20.36,20.37,20.01,02/04
Inditex,50.80,50.80,49.86,02/04
Indra,49.34,49.64,47.00,02/04
Logista,32.96,33.10,32.52,02/04
Mapfre,3.91,3.91,3.85,02/04
Merlin Properties,14.52,14.57,14.08,02/04
Naturgy,26.50,26.50,26.00,02/04
Puig Brands B,17.50,17.50,17.08,02/04
Redeia,15.07,15.08,14.81,02/04
Repsol,24.27,24.49,23.79,02/04
ROVI,82.65,82.80,81.40,02/04
Sacyr,4.46,4.47,4.35,02/04
B. Santander,9.81,9.88,9.56,02/04
Solaria,24.79,24.99,23.96,02/04
Telef≤nica,3.85,3.85,3.78,02/04
Unicaja Banco,2.57,2.59,2.53,02/04
Acciona,231.60,232.00,226.40,02/04
Acciona Ener,21.50,21.60,21.20,02/04
Acerinox,12.27,12.33,12.01,02/04
ACS,111.10,112.00,107.80,02/04
Aena,26.24,26.24,25.62,02/04
Amadeus,49.54,49.54,48.22,02/04
ArcelorMittal,45.63,46.49,44.53,02/04
B. Sabadell,3.07,3.08,3.02,02/04
Bankinter,13.65,13.73,13.43,02/04
BBVA,18.77,18.79,18.29,02/04
CaixaBank,10.38,10.48,10.23,02/04
Cellnex Telecom,28.75,28.75,27.68,02/04
Colonial SFL,5.20,5.22,5.08,02/04
Enagßs,17.21,17.23,17.01,02/04
Endesa,37.54,37.54,36.64,02/04
Ferrovial Se,57.28,57.58,56.14,02/04
Fluidra,20.24,20.38,19.95,02/04
Grifols,9.20,9.33,9.11,02/04
IAG,4.21,4.28,4.09,02/04
Iberdrola,20.36,20.37,20.01,02/04
Inditex,50.80,50.80,49.86,02/04
Indra,49.34,49.64,47.00,02/04
Logista,32.96,33.10,32.52,02/04
Mapfre,3.91,3.91,3.85,02/04
Merlin Properties,14.52,14.57,14.08,02/04
Naturgy,26.50,26.50,26.00,02/04
Puig Brands B,17.50,17.50,17.08,02/04
Redeia,15.07,15.08,14.81,02/04
Repsol,24.27,24.49,23.79,02/04
ROVI,82.65,82.80,81.40,02/04
Sacyr,4.46,4.47,4.35,02/04
B. Santander,9.81,9.88,9.56,02/04
Solaria,24.79,24.99,23.96,02/04
Telef≤nica,3.85,3.85,3.78,02/04
Unicaja Banco,2.57,2.59,2.53,02/04
Acciona,231.60,232.00,226.40,02/04
Acciona Ener,21.50,21.60,21.20,02/04
Acerinox,12.27,12.33,12.01,02/04
ACS,111.10,112.00,107.80,02/04
Aena,26.24,26.24,25.62,02/04
Amadeus,49.54,49.54,48.22,02/04
ArcelorMittal,45.63,46.49,44.53,02/04
B. Sabadell,3.07,3.08,3.02,02/04
Bankinter,13.65,13.73,13.43,02/04
BBVA,18.77,18.79,18.29,02/04
CaixaBank,10.38,10.48,10.23,02/04
Cellnex Telecom,28.75,28.75,27.68,02/04
Colonial SFL,5.20,5.22,5.08,02/04
Enagßs,17.21,17.23,17.01,02/04
Endesa,37.54,37.54,36.64,02/04
Ferrovial Se,57.28,57.58,56.14,02/04
Fluidra,20.24,20.38,19.95,02/04
Grifols,9.20,9.33,9.11,02/04
IAG,4.21,4.28,4.09,02/04
Iberdrola,20.36,20.37,20.01,02/04
Inditex,50.80,50.80,49.86,02/04
Indra,49.34,49.64,47.00,02/04
Logista,32.96,33.10,32.52,02/04
Mapfre,3.91,3.91,3.85,02/04
Merlin Properties,14.52,14.57,14.08,02/04
Naturgy,26.50,26.50,26.00,02/04
Puig Brands B,17.50,17.50,17.08,02/04
Redeia,15.07,15.08,14.81,02/04
Repsol,24.27,24.49,23.79,02/04
ROVI,82.65,82.80,81.40,02/04
Sacyr,4.46,4.47,4.35,02/04
B. Santander,9.81,9.88,9.56,02/04
Solaria,24.79,24.99,23.96,02/04
Telef≤nica,3.85,3.85,3.78,02/04
Unicaja Banco,2.57,2.59,2.53,02/04
