Acciona,230.20,235.00,229.60,07/04
Acciona Ener,21.30,21.80,21.24,07/04
Acerinox,12.34,12.66,12.28,07/04
ACS,111.70,112.80,110.10,07/04
Aena,26.16,26.58,26.10,07/04
Amadeus,48.21,50.44,47.95,07/04
ArcelorMittal,45.60,47.11,45.34,07/04
B. Sabadell,3.07,3.10,3.03,07/04
Bankinter,13.68,13.95,13.61,07/04
BBVA,18.89,19.34,18.73,07/04
CaixaBank,10.11,10.33,10.08,07/04
Cellnex Telecom,29.12,30.27,28.73,07/04
Colonial SFL,5.16,5.28,5.16,07/04
Enagßs,17.17,17.33,17.11,07/04
Endesa,37.63,37.84,37.07,07/04
Ferrovial Se,56.74,57.98,56.50,07/04
Fluidra,20.36,20.84,20.24,07/04
Grifols,9.05,9.25,8.95,07/04
IAG,4.13,4.25,4.11,07/04
Iberdrola,20.26,20.45,20.23,07/04
Inditex,50.18,51.82,50.16,07/04
Indra,48.97,50.68,48.50,07/04
Logista,32.42,33.30,32.38,07/04
Mapfre,3.92,3.99,3.91,07/04
Merlin Properties,14.40,14.68,14.38,07/04
Naturgy,26.16,26.62,26.14,07/04
Puig Brands B,17.16,17.78,17.11,07/04
Redeia,15.12,15.22,15.00,07/04
Repsol,23.95,24.59,23.88,07/04
ROVI,80.85,82.75,80.00,07/04
Sacyr,4.43,4.55,4.41,07/04
B. Santander,9.72,10.04,9.68,07/04
Solaria,24.50,25.13,24.29,07/04
Telef≤nica,3.88,3.96,3.82,07/04
Unicaja Banco,2.60,2.64,2.58,07/04
Acciona,230.20,235.00,229.60,07/04
Acciona Ener,21.30,21.80,21.24,07/04
Acerinox,12.34,12.66,12.28,07/04
ACS,111.70,112.80,110.10,07/04
Aena,26.16,26.58,26.10,07/04
Amadeus,48.21,50.44,47.95,07/04
ArcelorMittal,45.60,47.11,45.34,07/04
B. Sabadell,3.07,3.10,3.03,07/04
Bankinter,13.68,13.95,13.61,07/04
BBVA,18.89,19.34,18.73,07/04
CaixaBank,10.11,10.33,10.08,07/04
Cellnex Telecom,29.12,30.27,28.73,07/04
Colonial SFL,5.16,5.28,5.16,07/04
Enagßs,17.17,17.33,17.11,07/04
Endesa,37.63,37.84,37.07,07/04
Ferrovial Se,56.74,57.98,56.50,07/04
Fluidra,20.36,20.84,20.24,07/04
Grifols,9.05,9.25,8.95,07/04
IAG,4.13,4.25,4.11,07/04
Iberdrola,20.26,20.45,20.23,07/04
Inditex,50.18,51.82,50.16,07/04
Indra,48.97,50.68,48.50,07/04
Logista,32.42,33.30,32.38,07/04
Mapfre,3.92,3.99,3.91,07/04
Merlin Properties,14.40,14.68,14.38,07/04
Naturgy,26.16,26.62,26.14,07/04
Puig Brands B,17.16,17.78,17.11,07/04
Redeia,15.12,15.22,15.00,07/04
Repsol,23.95,24.59,23.88,07/04
ROVI,80.85,82.75,80.00,07/04
Sacyr,4.43,4.55,4.41,07/04
B. Santander,9.72,10.04,9.68,07/04
Solaria,24.50,25.13,24.29,07/04
Telef≤nica,3.88,3.96,3.82,07/04
Unicaja Banco,2.60,2.64,2.58,07/04
Acciona,230.20,235.00,229.60,07/04
Acciona Ener,21.30,21.80,21.24,07/04
Acerinox,12.34,12.66,12.28,07/04
ACS,111.70,112.80,110.10,07/04
Aena,26.16,26.58,26.10,07/04
Amadeus,48.21,50.44,47.95,07/04
ArcelorMittal,45.60,47.11,45.34,07/04
B. Sabadell,3.07,3.10,3.03,07/04
Bankinter,13.68,13.95,13.61,07/04
BBVA,18.89,19.34,18.73,07/04
CaixaBank,10.11,10.33,10.08,07/04
Cellnex Telecom,29.12,30.27,28.73,07/04
Colonial SFL,5.16,5.28,5.16,07/04
Enagßs,17.17,17.33,17.11,07/04
Endesa,37.63,37.84,37.07,07/04
Ferrovial Se,56.74,57.98,56.50,07/04
Fluidra,20.36,20.84,20.24,07/04
Grifols,9.05,9.25,8.95,07/04
IAG,4.13,4.25,4.11,07/04
Iberdrola,20.26,20.45,20.23,07/04
Inditex,50.18,51.82,50.16,07/04
Indra,48.97,50.68,48.50,07/04
Logista,32.42,33.30,32.38,07/04
Mapfre,3.92,3.99,3.91,07/04
Merlin Properties,14.40,14.68,14.38,07/04
Naturgy,26.16,26.62,26.14,07/04
Puig Brands B,17.16,17.78,17.11,07/04
Redeia,15.12,15.22,15.00,07/04
Repsol,23.95,24.59,23.88,07/04
ROVI,80.85,82.75,80.00,07/04
Sacyr,4.43,4.55,4.41,07/04
B. Santander,9.72,10.04,9.68,07/04
Solaria,24.50,25.13,24.29,07/04
Telef≤nica,3.88,3.96,3.82,07/04
Unicaja Banco,2.60,2.64,2.58,07/04
