Acciona,239.80,240.60,236.00,10/04
Acciona Ener,22.14,22.32,21.90,10/04
Acerinox,13.36,13.45,13.09,10/04
ACS,120.00,122.30,119.40,10/04
Aena,26.80,27.18,26.80,10/04
Amadeus,49.26,50.06,49.02,10/04
ArcelorMittal,52.00,52.30,49.65,10/04
B. Sabadell,3.27,3.29,3.22,10/04
Bankinter,14.50,14.50,14.24,10/04
BBVA,19.71,19.81,19.25,10/04
CaixaBank,10.66,10.68,10.51,10/04
Cellnex Telecom,30.05,30.53,30.05,10/04
Colonial SFL,5.36,5.39,5.33,10/04
Enagßs,17.25,17.29,17.11,10/04
Endesa,38.53,38.66,38.12,10/04
Ferrovial Se,60.84,61.60,60.50,10/04
Fluidra,20.86,21.30,20.86,10/04
Grifols,8.93,9.08,8.90,10/04
IAG,4.46,4.55,4.45,10/04
Iberdrola,20.32,20.43,20.27,10/04
Inditex,54.00,54.38,53.26,10/04
Indra,50.46,52.80,48.84,10/04
Logista,33.38,33.58,33.10,10/04
Mapfre,4.10,4.11,4.06,10/04
Merlin Properties,15.02,15.14,14.98,10/04
Naturgy,26.80,27.04,26.26,10/04
Puig Brands B,17.36,17.61,17.25,10/04
Redeia,15.34,15.41,15.21,10/04
Repsol,21.60,22.40,21.42,10/04
ROVI,83.35,83.85,82.40,10/04
Sacyr,4.66,4.69,4.61,10/04
B. Santander,10.52,10.59,10.32,10/04
Solaria,23.13,24.23,22.90,10/04
Telef≤nica,3.84,3.85,3.79,10/04
Unicaja Banco,2.76,2.76,2.70,10/04
